id,name,lat,lon
restaurant_81695,"Popeyes 3411 N Pace Blvd Pensacola, Florida 32505 - USA",30.447889,-87.240233
restaurant_83104,"Popeyes 3001 Panola Rd Lithonia, Georgia 30038 - USA",33.700066,-84.173098
restaurant_86723,"Popeyes (Military Post Access Required) 112 Lielmanis Ave Hurlburt Field, Florida 32544 - USA",30.41753,-86.68173
restaurant_81747,"Popeyes 1966 Government St Mobile, Alabama 36606 - USA",30.676268,-88.086796
restaurant_83576,"Popeyes 4815 Redan Rd Stone Mountain, Georgia 30088 - USA",33.76089,-84.195184
restaurant_84769,"Popeyes 1511 US Highway 98 Daphne, Alabama 36526 - USA",30.600047,-87.898842
restaurant_81774,"Popeyes 52 Northwest Eglin Parkway Fort Walton Beach, Florida 32548 - USA",30.415448,-86.606182
restaurant_81721,"Popeyes 814 E Cervantes St Pensacola, Florida 32501 - USA",30.4233,-87.20811
restaurant_83565,"Popeyes 10777 Alpharetta Hwy Roswell, Georgia 30076 - USA",34.041851,-84.341179
restaurant_81697,"Popeyes 4009 Airport Blvd Mobile, Alabama 36608 - USA",30.675717,-88.149242
restaurant_238464,"Popeyes Mountain Industrial Blvd & Greer Circle Stone Mountain, Georgia 30083 - USA",33.831399,-84.198303
restaurant_86633,"Popeyes 540 Riverstone Parkway Canton, Georgia 30114 - USA",34.244056,-84.486975
restaurant_82053,"Popeyes 3189 Tucker Norcross Rd Tucker, Georgia 30084 - USA",33.882797,-84.21933
restaurant_239400,"Popeyes 3716 Gulf Breeze Pkwy Gulf Breeze, Florida 32563 - USA",30.390004,-87.068475
restaurant_84683,"Popeyes 11287 Old 63 S Lucedale, Mississippi 39452 - USA",30.907288,-88.598329
restaurant_83790,"Popeyes 7050 Jimmy Carter Blvd Norcross, Georgia 30092 - USA",33.947822,-84.240956
restaurant_81809,"Popeyes 711 N Navy Blvd Pensacola, Florida 32507 - USA",30.400164,-87.277978
restaurant_85454,"Popeyes 570 Schillinger Road Mobile, Alabama 36695 - USA",30.67848,-88.22606
restaurant_83284,"Popeyes 3343 Old Milton Pkwy Alpharetta, Georgia 30005 - USA",34.06769,-84.263118
restaurant_83978,"Popeyes 1638 Highway 138 SE Conyers, Georgia 30013 - USA",33.646842,-84.012545
restaurant_83297,"Popeyes 4865 Stone Mountain Hwy Lilburn, Georgia 30047 - USA",33.82719,-84.09695
restaurant_81730,"Popeyes 5413 Highway 90 W Mobile, Alabama 36619 - USA",30.589649,-88.168919
restaurant_84133,"Popeyes 2112 Highway 71 Marianna, Florida 32448 - USA",30.71895,-85.183789
restaurant_83795,"Popeyes 31 Byrd Blvd Petal, Mississippi 39465 - USA",31.369844,-89.225154
restaurant_87110,"Popeyes 4280 Pleasant Hill Rd. Duluth, Georgia 30096 - USA",34.006076,-84.17425
restaurant_85218,"Popeyes 110 Highway 30 West New Albany, Mississippi 38652 - USA",34.498796,-89.026539
restaurant_85055,"Popeyes 1247 N Glenwood Avenue Dalton, Georgia 30721 - USA",34.793229,-84.962612
restaurant_82268,"Popeyes 1635 Pleasant Hill Rd Duluth, Georgia 30096 - USA",33.946104,-84.126424
restaurant_85045,"Popeyes 1710 S McKenzie St Foley, Alabama 36535 - USA",30.387365,-87.683963
restaurant_241569,"Popeyes 1050 Ridgeland Pkwy Alpharetta, Georgia 30004 - USA",34.120387,-84.223254
restaurant_83077,"Popeyes 3352 Broad St Chattanooga, Tennessee 37409 - USA",35.015664,-85.322846
restaurant_82710,"Popeyes 1401 S Slappey Blvd Albany, Georgia 31701 - USA",31.561086,-84.176884
restaurant_238452,"Popeyes 2725 Farmstead Way Suwanee, Georgia 30042 - USA",34.09148,-84.17079
restaurant_84794,"Popeyes 1202 S Cass St Corinth, Mississippi 38834 - USA",34.921197,-88.516599
